Name,price,sold,discount,liked-count,ads_keyword,cmt_count,stock,view_count,price_before_discount,price_min,price_max,price_min_before_discount,price_max_before_discount,rating_star,rating_count,rating_count_total,rcount_with_image,rcount_with_context,options,options_count,image,itemid,shopid,catid,shop_location,video_info_list_duration
Dây giày thể thao vải canvas nhiều màu đáng yêu phong cách Hàn Quốc,25200000,26,33%,309,wkdaelpmissisiht,183,600,7099,2930000000,2520000000,3090000000,2930000000,4580000000,4.972826,[184. 0. 0. 1. 3. 180],184,129,131,['Rainbow Heart'. '5 Colors Flower'. 'Light Color Flower'. 'Bright Color Flower'. 'Diamond+Hook'. 'Glitter Hook'. 'Glitter Diamond'],7,8eb45028319dab20efa75dd22b28391a,7839852820,260752424,161,Nước ngoài,0
Giày Sneaker Nam [ FREESHIP EXTRA ] Giày Thể Thao trẻ trung năng động nhẹ nhàng G35,411000000,1000,25%,0,,2,72369,23,54800000000,41100000000,41100000000,54800000000,54800000000,5,[2. 0. 0. 0. 0. 2],2,2,2,['Đen'],1,9531c8c0a83a36bf3f215da172615f76,8404591353,360757553,2429,TP. Hồ Chí Minh,0
Giày Thể Thao Nam [ FREESHIP EXTRA ] Giày Thể Thao trẻ trung năng động nhẹ nhàng G35,420000000,4400,20%,0,,3,8500,100,52500000000,42000000000,42000000000,52500000000,52500000000,5,[3. 0. 0. 0. 0. 3],3,2,3,['Đen'],1,c4a8c4e157a2d1e38368f7b5e1bfb3c2,8503621042,357567178,2429,TP. Hồ Chí Minh,0
Giày cao gót 8 phân quai mảnh đế trong []HÀNG ĐẸP],277440000,3973,20%,1,,4,21037,88,34680000000,27744000000,27744000000,34680000000,34680000000,5,[4. 0. 0. 0. 0. 4],4,3,4,['size 36'. 'Size 37'. 'Size 38'. 'Size 39'. 'size 35'],5,be5cb80810e1e6e17bc4411604bb8ec6,7570094263,359919912,161,TP. Hồ Chí Minh,0
[BÁN CHẠY NHẤT SHOPEE] Giày Sneaker Ro Cổ Thấp Đế Thơm Hương Vani Mới 2020 Đủ Size Nam Nữ Bảo Hành Keo 12 Tháng,178000000,37,29%,72,giầy,13,683,7481,25000000000,17800000000,17800000000,25000000000,25000000000,4.923077,[13. 0. 0. 0. 1. 12],13,3,7,['36'. '37'. '38'. '39'. '40'. '41'. '42'. '43'],8,d761d6bbe8336c7a47f68532049cdd13,3855960448,282219183,161,Hà Nội,0
Giày Cao Gót Quai Ngang Dây Chéo CAO CẤP - FS7204,203000000,734,50%,30,,9,614,118,40500000000,20300000000,20300000000,40500000000,40500000000,5,[9. 0. 0. 0. 0. 9],9,1,9,['36'. '37'. '38'. '39'],4,588981ba65663c2ca5b1ea56ef525021,6269762684,355353616,161,TP. Hồ Chí Minh,0
Giày Thể Thao Nam Chính Hãng - Giày SPORT MS27 🎁+Tặng Kèm Tất Khử Mùi Cao Cấp,355950000,4400,30%,1,,3,22500,224,50850000000,35595000000,48300000000,50850000000,50850000000,5,[3. 0. 0. 0. 0. 3],3,3,3,['Đen'. 'Xám'],2,fecbf44ea0295a70ddc6483a1980765e,8103617976,357567178,2429,TP. Hồ Chí Minh,0
Giày lười nam giày mọi nam vải nỉ X86fashion-MN01 [HÀNG CAO CẤP],342000000,3846,10%,0,,3,31700,83,38000000000,34200000000,34200000000,38000000000,38000000000,5,[3. 0. 0. 0. 0. 3],3,3,3,['38'. '39'. '40'. '41'. '42'. '43'. '44'],7,a083f87ac5ba79e3ba23782f3293dcc8,4670236899,360266909,2429,TP. Hồ Chí Minh,0
GIẦY THỂ THAO NAM NHẬP KHẨU. ẢNH SHOP TỰ CHỤP 100%.HÀNG CÓ SẴN.TĂNG CHIỀU CAO 4p,149000000,8,50%,15,giầy thể thao nam,19,217,2139,27800000000,14900000000,17940000000,27800000000,35880000000,4.894737,[19. 0. 0. 1. 0. 18],19,6,11,['Chữ V Xanh'. 'Chữ V đen'. 'Chữ S vàng'. 'Chữ S đen'. 'AMN đen'. 'AMN trắng'. 'ConBat kem ghi'],7,35c1e4a349d666d99b40b48f55ab9991,7960381941,314921399,2429,Hà Nội,0
Giày cao gót 9p hoạ tiết FF bao sang chảnh []HÀNG ĐẸP],408000000,3907,20%,0,,4,21212,154,51000000000,40800000000,40800000000,51000000000,51000000000,5,[4. 0. 0. 0. 0. 4],4,2,4,['Size 35'. 'Size 36'. 'Size 37'. 'Size 38'. 'Size 39'],5,b18138ac6f802818abaa2a20e99e4c24,7170094210,359919912,161,TP. Hồ Chí Minh,0
Giày Sneaker Nam [ FREESHIP ]Giày Thể Thao Nam siêu nhẹ siêu thoáng - G31,422100000,4400,10%,2,,3,18500,388,46900000000,42210000000,42210000000,46900000000,46900000000,5,[3. 0. 0. 0. 0. 3],3,3,3,['Trắng'. 'Đen'],2,2d58723e0be60fec80568457fe004170,8003620152,357567178,2429,TP. Hồ Chí Minh,0
Giày lười DA BÒ bảo hành 12 tháng [HÀNG CAO CẤP],477000000,3630,10%,0,,3,1485474,34,53000000000,47700000000,47700000000,53000000000,53000000000,5,[3. 0. 0. 0. 0. 3],3,0,3,['da bò đen R02'. 'da bò nâu R01'],2,28ee67f5f660ed7345dee661f5d07211,4770236075,360266909,2429,TP. Hồ Chí Minh,0
[Có Video Thật] Giày Boost.giày nam cổ cao. giày phượt Giày Sneaker Mới nhất 2020. giày thể thao nam. Raper HC18,260000000,78,,295,giày nam cổ cao,84,10496,11065,0,26000000000,26000000000,-1,-1,4.964286,[84. 0. 0. 0. 3. 81],84,29,52,['XÁM'. 'BE'. 'RÊU'],3,17e0eab7ae4550d0cda12dd65a5b90f8,6659906090,131040030,2429,Hà Nội,52
Giày cao gót 9p quai mảnh da mềm gót nhọn []HÀNG ĐẸP],334080000,3733,20%,1,,4,46477,63,41760000000,33408000000,33408000000,41760000000,41760000000,5,[4. 0. 0. 0. 0. 4],4,2,4,['Kem'. 'Đen'],2,b97d9d8ab577605b2874057df7b0b5d3,7470103208,359919912,161,TP. Hồ Chí Minh,0
Giày Thể Thao Nam [ FREESHIP EXTRA ] Giày Thể Thao trẻ trung năng động G34,525000000,4400,30%,0,,3,8500,251,75000000000,52500000000,52500000000,75000000000,75000000000,5,[3. 0. 0. 0. 0. 3],3,2,3,['Xám Đen'],1,9ad84f98e2d5c4cdd450cb44d9a15ef2,7969313350,357567178,2429,TP. Hồ Chí Minh,0
Giày tây da nhám nam [HÀNG CAO CẤP],340200000,3160,10%,0,,3,271655,22,37800000000,34020000000,34020000000,37800000000,37800000000,5,[3. 0. 0. 0. 0. 3],3,1,3,['nham den'],1,e49e5245d5c75dbf58a50ccfe034b25f,4470222968,360266909,2429,TP. Hồ Chí Minh,0
Giầy Patin Phát Sáng Cao Cấp - Giầy PaTin Trẻ Em Người Lớn - Mâu Mới 2020,259000000,80,,561,wkdaelpmissisiht,1275,3694,2373,0,25900000000,33900000000,-1,-1,4.84827,[1275. 9. 8. 26. 81. 1151],1275,389,596,['S Xanh Đen LEO.30-33'. 'L Xám LEO.40-43'. 'M Hồng LEO.34-38'. 'L Đỏ LEO.40-43'. 'M Đỏ Super K. 38-41'],5,9197223b75b13a496a879b4e3a042404,1494964549,72435953,9675,Hà Nội,60
Giày Sneaker Thể Thao Pro Trắng Cam Full Size,310000000,3130,38%,2,,0,796870,312,50000000000,31000000000,31000000000,50000000000,50000000000,0,[0. 0. 0. 0. 0. 0],0,0,0,['40'. '41'. '42'. '43'. '36'. '37'. '38'. '39'],8,9253fbd2ad3b5b4cef8a8021bc0bbef1,8900414366,333678241,161,Hà Nội,0
Giày Sneaker Nam [ FREESHIP ] Giày Thể Thao Nam Siêu Nhẹ Thời Trang Trẻ Trung - G33,425000000,4400,,1,,3,18500,133,0,42500000000,42500000000,-1,-1,5,[3. 0. 0. 0. 0. 3],3,3,3,['Cam'. 'Vàng'],2,e46b1fa4b41bddb9b978c80cac55965d,7669318044,357567178,2429,TP. Hồ Chí Minh,0
Giày Sandal cao gót 9p quai mảnh gót dẹt siêu đẹp hàng VNXK []HÀNG ĐẸP],408000000,3600,20%,1,,4,47020,90,51000000000,40800000000,40800000000,51000000000,51000000000,5,[4. 0. 0. 0. 0. 4],4,4,4,['Đen'. 'Nâu cacao'],2,a6a3138aabd71bb39ac4316746692628,7270094680,359919912,161,TP. Hồ Chí Minh,0
[TĂNG CHIỀU CAO 5CM] Giày Da Bò Đế Cao Su Cao Cấp Bảo hành 12 Tháng. Tặng Kèm Tất Khử Mùi Cao Cấp ,229000000,59,54%,107,giày da thật,103,551,4807,50000000000,22900000000,22900000000,50000000000,50000000000,4.941748,[103. 0. 0. 1. 4. 98],103,38,55,['ĐEN'],1,d3862effdacda2aa150d38e759ddc44c,7317580809,199075383,2429,Hà Nội,60
Giày thể thao nam - MS3 giày sneaker  MC cổ thấp đế cao fom chuẩn mẫu mới nhất,534000000,4400,25%,4,,3,8499,423,71250000000,53400000000,53400000000,71250000000,71250000000,5,[3. 0. 0. 0. 0. 3],3,3,3,['Trắng'],1,8e72b2a1ba819adf1e98d17c6ee92bfc,7469314588,357567178,2429,TP. Hồ Chí Minh,0
Giày cao gót 9p da bóng đế đỏ 4 màu siêu hot []HÀNG ĐẸP],369600000,3108,20%,1,,4,100472,50,46200000000,36960000000,36960000000,46200000000,46200000000,5,[4. 0. 0. 0. 0. 4],4,2,4,['Trắng'. 'Đen'. 'Nâu cacao'. 'Hồng nude'],4,3485fe2705ee7f5ae7f5d469f7f56785,6370103953,359919912,161,TP. Hồ Chí Minh,0
Giày Nư_giày thể thao ulzzang đế cao Phối lưới Họa Tiết Chữ,345800000,3000,30%,0,,2,70500,18,49400000000,34580000000,34580000000,49400000000,49400000000,5,[2. 0. 0. 0. 0. 2],2,2,2,['TÍM'. 'TRẮNG'. 'ĐỎ '],3,c4a24bb6387584d8e090153b86149331,8204616674,360739397,161,TP. Hồ Chí Minh,0
Giày phối ren đính ngọc trai in hình công chúa Elsa Frozen màu trắng/hồng dành cho bé gái 3-6 tuổi,162266000,27,20%,35,wkdaelpmissisiht,36,2504,3643,20283200000,16226600000,16226600000,20283200000,20283200000,4.944444,[36. 0. 0. 0. 2. 34],36,9,14,['white'. 'pink'. 'purple'],3,8d40ff6e62e341e6208249d844d2f55f,5344689195,162180953,16770,Nước ngoài,0
GIÀY NỮ_SIÊU PHẨM Giày ulzzang  hè thể thao nữ độn đế BALEN vảy sơn 😍FREESHIP😍,364000000,3000,30%,0,,2,85500,23,52000000000,36400000000,41600000000,52000000000,52000000000,5,[2. 0. 0. 0. 0. 2],2,2,2,['trắng'. 'xanh'. 'cam'],3,927c7c69fc15a2dcac852bfdec75328f,8004616682,360739397,161,TP. Hồ Chí Minh,0
Giày cao gót 9 phân da bóng cao cấp (video tự quay) (JR4) []HÀNG ĐẸP],388800000,3080,20%,0,,4,99660,21,48600000000,38880000000,38880000000,48600000000,48600000000,5,[4. 0. 0. 0. 0. 4],4,3,4,['Đen'. 'Hồng nude'. 'Trắng'. 'Nâu cacao'],4,e5b8d4992ce53b0f591216cfcc0e38a3,7270103735,359919912,161,TP. Hồ Chí Minh,0
Giày Thể Thao Nữ Trắng S15/ S18 FULL HỘP + SẴN HÀNG RỒI,332800000,3000,20%,0,,2,45500,26,41600000000,33280000000,33280000000,41600000000,41600000000,5,[2. 0. 0. 0. 0. 2],2,2,2,['kem'. 'trắng'],2,cf7f682321dea44f8d6a4addee3c7881,7970402383,360739397,161,TP. Hồ Chí Minh,0
🎁[TẶNG TẤT+HỘP] GIÀY THỂ THAO SUPERSTAR SLIP ON SÒ CHUN NỮ,99000000,0,,92,adidas,4,499,1809,0,9900000000,19900000000,-1,-1,4.75,[4. 0. 0. 0. 1. 3],4,0,2,['size 36'. 'size 37'. 'size 38'. 'size 39'. 'Hàng tồn thanh lý'],5,a4766f7a53a5cc197aa18feae54fc628,1165460445,69451564,161,Hà Nội,40
GIÀY NỮ _ KOBUTA_Giày Sục Hở Gót Lưới Khoét Eo Mới + SẴN HÀNG,353000000,3000,20%,0,,2,20500,12,44200000000,35300000000,35300000000,44200000000,44200000000,5,[2. 0. 0. 0. 0. 2],2,2,2,['hồng'],1,a6855f97a5b544c32bbd61fc7cc97b9d,7870402947,360739397,161,TP. Hồ Chí Minh,0
Giầy Bốt Oxford Cổ thấp ALenciac mới 2020 -a5_FREESHIP,468000000,3000,,0,,2,45500,12,0,46800000000,46800000000,-1,-1,5,[2. 0. 0. 0. 0. 2],2,2,2,['DA LỲ'. 'DA BÓNG'],2,6a7a963d6877bdf5b3478cda4c517e1c,7870394252,360739397,161,TP. Hồ Chí Minh,0
Mới Về Thêm_Giày the thao Ulzzang Phản Quang Tag chữ 2020 Kobuta + sẵn sll,415000000,3000,,0,,2,85500,21,0,41500000000,41500000000,-1,-1,5,[2. 0. 0. 0. 0. 2],2,2,2,['xanh trắng'. 'xám trắng'. 'hồng'],3,a8b1c4f2857bf9d254f5eee771abde67,7570407361,360739397,161,TP. Hồ Chí Minh,0
giày thể thao trẻ em quai dán chính hãng,260000000,0,,0,giày trẻ em,0,83,56,0,26000000000,26000000000,-1,-1,0,[0. 0. 0. 0. 0. 0],0,0,0,['Xanh chuối'. 'Hồng'. 'Xám hồng'. 'Đen đỏ'],4,81a97e7867199290a7a41e869c3ad89e,4570417388,35479849,16770,TP. Hồ Chí Minh,0
Giày thể thao phong cách Hàn Quốc năng động trẻ trung dành cho nữ （503）,741000000,1000,25%,1,,2,267000,112,98800000000,74100000000,74100000000,98800000000,98800000000,5,[2. 0. 0. 0. 0. 2],2,2,2,['pink'. 'Moonlight'. 'Black'],3,417e1fa3b1144205bcebbb4206aaab1a,7670376020,360757553,161,TP. Hồ Chí Minh,0
HÀNG VỀ_Giày Thể Thao Nữ YZ Đế Kếp Hoa Cúc Ra Nắng Đổi Màu 2020,364000000,3000,30%,0,,2,70500,27,52000000000,36400000000,36400000000,52000000000,52000000000,5,[2. 0. 0. 0. 0. 2],2,2,2,['TRẮNG'. 'ĐEN'. 'XANH'],3,003be7be8fa2b5227d277c9e3e693ab6,7470407705,360739397,161,TP. Hồ Chí Minh,0
Giày Sneaker Nam [ FREESHIP ] Giày Thể Thao Nam Nhẹ Nhàng Êm Ái Trẻ Trung - G38,504000000,3000,20%,4,,2,18500,308,63000000000,50400000000,50400000000,63000000000,63000000000,5,[2. 0. 0. 0. 0. 2],2,2,2,['Be'. 'Đen'],2,5634867ee1044b3292fd65bc11284130,5269310322,357567178,2429,TP. Hồ Chí Minh,0
[FreeShip - hàng loại 1] Giày thể thao nam. giày sneaker nam da Xám - Trắng (2 màu) XD21,330000000,18,25%,40,wkdaelpmissisiht,20,681,1828,43750000000,33000000000,33000000000,43750000000,43750000000,5,[20. 0. 0. 0. 0. 20],20,4,10,['Trắng'. 'Xám'],2,50447c34979ea41472f5ab929b2e065f,3331438450,252393558,2429,Hà Nội,31
Giày Sneaker Nam [ FREESHIP ] Giày Thể Thao Nam Siêu Nhẹ Thời Trang Trẻ Trung - G33,411000000,1000,25%,0,,2,151750,35,54800000000,41100000000,41100000000,54800000000,54800000000,5,[2. 0. 0. 0. 0. 2],2,2,2,['Cam'. 'Vàng'],2,69b1342ecadaa2c7af6b99ef8a7c8926,7570383996,360757553,2429,TP. Hồ Chí Minh,0
GIÀY THỂ THAO NỮ ĐẾ ĐỘN VIỀN PHẢN QUANG,494000000,3000,,0,,2,45500,22,0,49400000000,49400000000,-1,-1,5,[2. 0. 0. 0. 0. 2],2,2,2,['đen'. 'trắng'],2,fc03eb96e9feb282817aae13ba2a7198,7470407565,360739397,161,TP. Hồ Chí Minh,0
Giày Thể Thao Nam Tăng Chiều Cao 3-5 Cm Siêu Nhẹ Siêu Thoáng - G10,429000000,3000,,4,,2,28500,349,0,42900000000,42900000000,-1,-1,5,[2. 0. 0. 0. 0. 2],2,2,2,['Trắng'. 'Be'. 'Đen'],3,ea427bfe8426460c5db2ec97481f2efa,5369310241,357567178,2429,TP. Hồ Chí Minh,0
[ Xả hàng ] Derby đế đốc. giày buộc dây cổ thấp,150000000,146,40%,128,wkdaelpmissisiht,96,326,6972,25000000000,15000000000,15000000000,25000000000,25000000000,4.885417,[96. 1. 0. 1. 5. 89],96,30,46,['Da mờ'. 'Da bóng'],2,bf67250b189f44de9ff45a27e9b861a1,5943006314,132716339,2429,Hà Nội,19
Giày Sneaker Nam [ FREESHIP ] Giày Thể Thao Nam Nhẹ Nhàng Êm Ái Trẻ Trung - G36,554250000,1000,25%,1,,1,148390,37,73900000000,55425000000,55425000000,73900000000,73900000000,5,[1. 0. 0. 0. 0. 1],1,1,1,['Be'. 'Trắng'],2,a2e756803b62dd4963bb5a1492e42024,5670383949,360757553,2429,TP. Hồ Chí Minh,0
Giày slip on Cổ Chun Bền Êm chân ( Về Hàng),291200000,3000,20%,1,,2,70500,18,36400000000,29120000000,29120000000,36400000000,36400000000,5,[2. 0. 0. 0. 0. 2],2,2,2,['đen'. 'hồng'. 'trắng'],3,8df40787ef1304e19a1e89c2d8b11389,7270399519,360739397,161,TP. Hồ Chí Minh,0
Giày Thể Thao Nam Chính Hãng - Giày Sneaker MS26 🎁+Tặng Kèm Tất Khử Mùi Cao Cấp,523000000,3000,30%,2,,2,8500,466,74850000000,52300000000,52300000000,74850000000,74850000000,5,[2. 0. 0. 0. 0. 2],2,1,2,['Đen Trắng'],1,1bedc871443a58058d1246877442d0c7,6269315920,357567178,2429,TP. Hồ Chí Minh,0
[Có Video] Giày thể thao nam. Nhập khẩu và phân phối độc quyền bởi công ty Vũ Gia. Mã SP: 18088,280000000,6,,17,wkdaelpmissisiht,8,10500,929,0,28000000000,28000000000,-1,-1,5,[8. 0. 0. 0. 0. 8],8,5,7,['7 MÀU'. 'ĐEN'. 'TRẮNG SỮA'],3,bc2bbb48318bdf9ec38fbaf958a1a12e,6460838397,131040030,2429,Hà Nội,39
Giày Sneaker Nam [ FREESHIP ] Giày Thể Thao Nam phản quang tăng chiều cao - G39,629250000,1000,25%,0,,1,148840,102,83900000000,62925000000,62925000000,83900000000,83900000000,5,[1. 0. 0. 0. 0. 1],1,1,1,['Trắng'. 'Đen'],2,1b75b0ab4adc042de262e992c6eb7536,5470385610,360757553,2429,TP. Hồ Chí Minh,0
GIÀY THỂ THAO ĐỘN ĐẾ RĂNG CƯA XỊN CHUẤT_FREESHIP,371000000,3000,35%,0,,2,45500,26,57200000000,37100000000,37100000000,57200000000,57200000000,5,[2. 0. 0. 0. 0. 2],2,2,2,['gót xanh'. 'gót tím'],2,7c9581a31c9702301aaf2e287485595d,6770407729,360739397,161,TP. Hồ Chí Minh,0
Giày thể thao nam - MS2 giày sneaker cổ thấp đế cao fom chuẩn mẫu mới nhất,540000000,3000,20%,3,,2,22500,234,67500000000,54000000000,54000000000,67500000000,67500000000,5,[2. 0. 0. 0. 0. 2],2,2,2,['Màu Be'. 'Màu Đen'],2,c4907c51fef539ff5e8a78682346b6c7,4969316305,357567178,2429,TP. Hồ Chí Minh,0
Giày Sneaker Nam Fashion Sneaker Đẹp Giầy Tăng Chiều Cao Nam Đế Độn Thời Trang Phong Cách Cá Tính - TADIGIAY.COM,399000000,23,50%,43,giày nam dep,12,146349,3479,79800000000,39900000000,39900000000,79800000000,79800000000,4.916667,[12. 0. 0. 0. 1. 11],12,2,4,['G2621 Đen Đỏ'. 'G2621 Đen Trắng'. 'G2621 Đen Vàng'],3,356a7f36928c830b8a21e16cf6481ef0,7159346974,319180584,2429,TP. Hồ Chí Minh,60
Giày Sneaker Nam [ FREESHIP EXTRA ] Giày Thể Thao trẻ trung năng động G34,712500000,0,25%,1,,0,72000,4,95000000000,71250000000,71250000000,95000000000,95000000000,0,[0. 0. 0. 0. 0. 0],0,0,0,['Xám Đen'],1,5859ef0a6765cd5a68bf3552aa388f04,9404694258,360861179,2429,TP. Hồ Chí Minh,0
[INS HOT]Giày thể thao nữ canvas kiểu.💥Classic thêu hoa cúc nhí💥（2218）,534000000,1000,25%,0,,1,222000,50,71200000000,53400000000,53400000000,71200000000,71200000000,5,[1. 0. 0. 0. 0. 1],1,1,1,['Black'. 'Yellow'. 'Green'],3,b17d2f95b689acf47843f57c17eba4c2,4970377846,360757553,161,TP. Hồ Chí Minh,0
Giày Nữ🍒 Giày thể thao Ulzzang tag Cam 2 dây + ẢNH THẬT,442000000,3000,,0,,2,45500,13,0,44200000000,44200000000,-1,-1,5,[2. 0. 0. 0. 0. 2],2,2,2,['xanh'. 'trắng'],2,48d55a7a28d8d6a1b94d9d5e957c6a9a,6770407632,360739397,161,TP. Hồ Chí Minh,0
