Name,price,sold,discount,liked-count,ads_keyword,cmt_count,stock,view_count,price_before_discount,price_min,price_max,price_min_before_discount,price_max_before_discount,rating_star,rating_count,rating_count_total,rcount_with_image,rcount_with_context,options,options_count,image,itemid,shopid,catid,shop_location,video_info_list_duration,stt
Áo thun nam Fashion cổ tròn đẹp tay dài mã TT52 phong cách Hàn Quốc form rộng cho mùa thu đông,80000000,4301,,233,,2,12400,344,0,8000000000,19600000000,-1,-1,5,[2. 0. 0. 0. 0. 2],2,1,2,['XÁM'. 'TRẮNG'. 'ĐEN'. 'BT'],4,e15e3e32b12c5fa960f1d8f9f8c2282f,7459017281,254506319,78,Hà Nội,45,11
"Áo hoodie nữ, áo hoodie nam, họa tiết chữ CAT , áo hoodí siêu hot, thời trang thu đông",99000000,850,50%,17,,4,32598,384,19800000000,9900000000,9900000000,19800000000,19800000000,5,[4. 0. 0. 0. 0. 4],4,0,4,['XANH ĐEN - CAT'. 'HỒNG - CAT'. 'ĐỎ - CAT'. 'XÁM - CAT'],4,9cbd389fd16f49ffe517909841b0a836,9103724612,25143432,77,TP. Hồ Chí Minh,0,12
Áo Khoác Dù 2 Lớp Nam Thu Đông Cao Cấp,249000000,976,49%,42,,2,103256,870,48500000000,24900000000,24900000000,48500000000,48500000000,5,[2. 0. 0. 0. 0. 2],2,2,2,['Ghi'. 'Đen'. 'Đỏ'],3,0e43bfec9750fbd5c2d183dcaf267e06,8502162768,335108594,78,Hà Nội,0,13
"Áo sơ mi nam tay dài trơn đủ màu có size big LADOS-523, vải lụa mềm mát",99000000,1030,45%,313,áo sơ mi nam,568,3932,24817,17900000000,9900000000,9900000000,17900000000,17900000000,4.882042,[568. 2. 3. 9. 32. 522],568,145,243,['Trắng'. 'Đen'. 'Xanh đen'. 'Xanh biển'. 'Xám đậm'. 'Rêu'. 'Bò'],7,a5eaaf2eb227042ef89508c7305f9bf2,6635510817,35080757,78,TP. Hồ Chí Minh,24,14
Áo Thu Đông Nỉ Cao Cấp Ấm Áp Nhẹ,199000000,3821,33%,34,,7,2,992,29500000000,19900000000,19900000000,29500000000,29500000000,5,[7. 0. 0. 0. 0. 7],7,7,7,['Size M (45 - 55KG)'. 'Size L (56 - 62KG)'. 'Size XL (63 - 70KG)'],3,85d83f5b675ec8da2e92042365426dd9,3367970923,335129994,78,Hà Nội,0,15
Áo len nam cổ lọ FAVITI mẫu mới nhất 2020 AL59,109000000,8177,46%,7706,,8418,45992,334568,20000000000,10900000000,10900000000,20000000000,20000000000,4.828541,[8423. 68. 69. 217. 537. 7532],8423,1855,3416,['Đen'. 'Trắng'. 'Đỏ'. 'Xanh Than'. 'Xám Nhạt'. 'Xám đậm'. 'Cam'. 'ĐeN'. 'Xanh Rêu'],9,8eb06a09fff6af941b613e3ec8bf2a35,1589295236,38003654,78,Hà Nội,34,16
"Áo hoodie nữ, áo hoodie nam, họa tiết chữ HOLIDAY , áo hoodí siêu hot, thời trang thu đông",109000000,700,45%,19,,4,50773,524,19900000000,10900000000,10900000000,19900000000,19900000000,5,[4. 0. 0. 0. 0. 4],4,0,4,['XANH NGỌC - HOLIDAY'. 'XÁM - HOLIDAY'. 'XANH LÁ - HOLIDAY'. 'HỒNG ĐẬM - HOLIDAY'. 'VÀNG - HOLIDAY'. 'ĐỎ - HOLIDAY'],6,33ca055b5d4713a1cd77a47b3419f26f,7669424052,25143432,77,TP. Hồ Chí Minh,0,17
"Áo thun nam Cổ bẻ họa tiết hoa Flawn Strength chất Cotton thoáng mát, co dãn - FEAER DENIM",349000000,1,,103,áo,31,144,468,0,34900000000,34900000000,-1,-1,5,[31. 0. 0. 0. 0. 31],31,9,10,['M'. 'L'. 'XL'],3,417d87eb1f65ca80c6cd9cfc6de1df22,6243875365,263713672,78,TP. Hồ Chí Minh,0,18
Áo Khoác 3D Nam Nữ in Hoạt Hình 2 Lớp Lót Dù Mềm Mịn Chống Năng Tốt Hot Teen,239000000,0,,0,,6,97805,51,0,23900000000,23900000000,-1,-1,5,[6. 0. 0. 0. 0. 6],6,0,6,[''],1,69104f8687b32bbae7cdf944d4fee3ed,6669915879,359381729,77,TP. Hồ Chí Minh,0,19
Áo khoác phao nam có mũ tháo rời được ( siêu chống gió rét_ hàng cao cấp bán shop ),275000000,0,25%,2,,0,49998,364,36900000000,27500000000,27500000000,36900000000,36900000000,0,[0. 0. 0. 0. 0. 0],0,0,0,['đen'. 'xám'. 'kem'. 'rêu'. 'đỏ'],5,b6bf18a6fc612402b0db42cec0a5ed91,5169574847,38668868,78,Hà Nội,11,20
Áo Khoác Nam Jean Dày Dặn Cao Cấp,279000000,2974,47%,43,,11,62361,1071,52500000000,27900000000,27900000000,52500000000,52500000000,5,[11. 0. 0. 0. 0. 11],11,11,11,['S (45 - 60kg)'. 'M (60 - 65kg)'. 'L (66 - 70kg)'. 'XL (70 - 76kg)'. 'XXL (76 - 80kg)'],5,0c55ff2bbf37b90f6204209f711bd983,9002102705,335108594,78,Hà Nội,0,21
Áo thun polo nam cổ bẻ mã POLO phối màu 3M CAO CẤP - chất thun cá sấu cotton 100%,147500000,19,41%,17,ao nam,3,75,2020,25000000000,14750000000,14750000000,25000000000,25000000000,5,[3. 0. 0. 0. 0. 3],3,1,1,['NÂU. TRẮNG. ĐEN'],1,f7d0e433b82cf8da4e614a02b02da7fd,6167929188,313775349,78,TP. Hồ Chí Minh,0,22
"Áo thu đông nam dài tay VERATINO, chất cotton co giãn cao cấp, áo gữ nhiệt cơ thể, áo dáng ôm cao cấp",75000000,3155,50%,22,,16,50340,1098,15000000000,7500000000,7500000000,15000000000,15000000000,4.875,[16. 0. 0. 1. 0. 15],16,1,10,['Đen'. 'Trắng'. 'Xanh than'. 'Ghi xám'. 'Ghi sáng'],5,1a29392af64aa39e5e87b2f5be76fe33,6162760576,196661455,78,Hà Nội,0,23
Áo Thun Nam Dài Tay Có Cổ 100% Cotton Thấm Hút Tốt Hàng VNXK Loại 1 - APL001,182000000,3329,35%,11,,5,32667,248,28000000000,18200000000,18200000000,28000000000,28000000000,5,[5. 0. 0. 0. 0. 5],5,4,4,['Màu trắng'. 'Màu Xanh Đen'. 'Màu Đen'],3,96b0aa0f3d11465eaae2e2a5d86b5a17,8502888555,348785729,78,Hà Nội,60,24
"Áo Thun nam nữ loang màu, thời trang hot 2020",69500000,703,50%,18,,4,48389,197,13900000000,6950000000,6950000000,13900000000,13900000000,5,[4. 0. 0. 0. 0. 4],4,0,4,['Đen'. 'Trắng'. 'Hồng lẫn xanh'. 'loang xanh'. 'loang cam'],5,b148d056b20883f909a948821b9d03d1,8403724243,25143432,77,TP. Hồ Chí Minh,0,25
"Áo polo nam Galvin cổ dệt bo len ,áo thun nam có cổ tay lỡ 12 - Leo Vatino",119000000,1465,46%,1108,ao nam,1509,2596,73229,22000000000,11900000000,11900000000,22000000000,22000000000,4.956925,[1509. 3. 3. 6. 32. 1465],1509,471,702,['Xanh than'. 'Nâu Coffee'. 'Đen'. 'Be'. 'Trắng'],5,551d891431a0600e155299591a38be70,6039387811,277678439,78,Hà Nội,32,26
Áo phông nam ngắn tay cổ bẻ - không nhăn mềm min thấm hút mồ hôi(ACB),75000000,1852,46%,108,,212,48236,6680,14000000000,7500000000,7500000000,14000000000,14000000000,4.830189,[212. 3. 0. 4. 16. 189],212,28,85,['- ACB - XÁM ĐẬM -'. '- ACB - GHI SÁNG - '. '- ACB - TRẮNG -'. '- ACB - MÀU ĐEN -'. '- ACB - XANH THAN -'],5,f756385262d9f4ee5db3dfd9ace22d72,6534754001,230953643,78,Hà Nội,0,27
Áo Dài Tay Có Cổ 95% Cotton Co Dãn Tốt VNXK - ADT001,182000000,0,35%,3,,0,268410,17,28000000000,18200000000,18200000000,28000000000,28000000000,0,[0. 0. 0. 0. 0. 0],0,0,0,['Xanh xám '. 'Đen'. 'Xanh'],3,dd4e92af96cd8bbdb90f030077f18461,6068710536,348785729,78,Hà Nội,0,28
Áo sơ mi nam dài tay Hàn Quốc vải lụa thái chống nhăn cao cấp.(CAM KẾT ẢNH THẬT),75000000,1573,42%,43,,120,68446,1885,13000000000,7500000000,7500000000,13000000000,13000000000,4.783333,[120. 3. 1. 3. 5. 108],120,30,62,['- SML- XANH THAN -'. '-SML- XANH NƯỚC BIỂN'. '- SML- MÀU TRẮNG -'. '- SML- GHI XÁM  -'. '- SML- ĐEN -'. '- SML- ĐỎ ĐÔ -'. '-SML TRẮNG CÚC ĐEN -'],7,75f210a52553be4f732e6402ecf5cf9c,6534684741,230953643,78,Hà Nội,0,29
[Mua 2 giảm 20%] Áo polo nam màu xanh jade họa tiết trơn phối gân dọc đơn giản APL37,220000000,637,29%,601,wkdaelpmissisiht,1144,2113,25494,31000000000,22000000000,22000000000,31000000000,31000000000,4.876748,[1144. 10. 3. 16. 60. 1055],1144,368,530,['Xanh ngọc'. 'Xám xanh'. 'Nâu tím khói'. 'Xanh dương'. 'Đen'. 'Trắng'],6,cd5c898db9f320376b6dff6b1bd5f9c6,5032615956,147229880,78,TP. Hồ Chí Minh,23,30
"Áo hoodie nữ, áo hoodie nam, họa tiết chữ PURBSSO , áo hoodí siêu hot, thời trang thu đông",99000000,800,50%,26,,4,16168,622,19800000000,9900000000,9900000000,19800000000,19800000000,5,[4. 0. 0. 0. 0. 4],4,0,4,['XANH DƯƠNG - PURBSSO'. 'HỒNG - PURBSSO'],2,bd39fb6fc810c21ce823a1aa5bf9040f,4869420815,25143432,77,TP. Hồ Chí Minh,0,31
ÁO HOODIE NAM NỮ VẢI NỈ DÂY KÉO ANGEL LAND KN2,129000000,1303,44%,20,,6,482,846,22900000000,12900000000,12900000000,22900000000,22900000000,5,[6. 0. 0. 0. 0. 6],6,0,5,['TRẮNG '. 'ĐEN'],2,8f0670ff750869ab564d063038857b0c,7668556596,276351889,77,TP. Hồ Chí Minh,0,32
Áo Thun Tay Lỡ Unisex IN SWE BƯỚM- Áo Thun Phông Rộng Thời Trang Nam Nữ Bắt Trent,88000000,2250,1%,3164,,15,257,5241,8900000000,8800000000,8800000000,8900000000,8900000000,4.866667,[15. 0. 0. 1. 0. 14],15,6,14,['Đen'. 'Trắng'],2,b95e7808e82f377f1b2b14fd8a35f717,5368122554,351898295,77,TP. Hồ Chí Minh,0,33
"⚡GIÁ 159K SALE 19K ⚡ ÁO SƠ MI NAM KẺ CARO PHONG CÁCH HÀN QUỐC, DÁNG ÔM SANG TRỌNG",19000000,0,,0,áo nam,0,56,5,0,1900000000,1900000000,-1,-1,0,[0. 0. 0. 0. 0. 0],0,0,0,['S'. 'M'. 'L'],3,6c0b2af1fd2dff699208f1c1ffbfa8c9,9004293283,357737645,78,Hà Nội,17,34
Áo phông nam cổ bẻ ngắn tay Ikemen cao cấp : Chất thun cá sấu cotton 100% co giãn 4 chiều cực mềm mịn mát(ACB),78000000,1213,48%,1391,,171,48771,461,15000000000,7800000000,7800000000,15000000000,15000000000,4.725146,[171. 6. 1. 3. 14. 147],171,31,52,['- ACB - XANH THAN -'. '- ACB - GHI SÁNG -'. '- ACB - TRẮNG -'. '- ACB - XÁM ĐẬM -'. '- ACB - MÀU ĐEN -'],5,419decc4c4b904d556cb581316ea9060,2123379021,137567530,78,Hà Nội,0,35
"Áo hoodie nữ, áo hoodie nam, họa tiết chữ MIAMI , áo hoodí siêu hot, thời trang thu đông",99000000,800,50%,18,,4,18397,292,19800000000,9900000000,9900000000,19800000000,19800000000,5,[4. 0. 0. 0. 0. 4],4,0,4,['XANH RÊU - MIAMI'. 'CAM ĐẤT - MIAMI'],2,5865106d92b17e324cd43f4cd151d76f,3669529394,25143432,77,TP. Hồ Chí Minh,0,36
"Áo thun nam Ikemen ngắn tay cổ tròn cao cấp - Chất liệu cotton , không nhăn, thoáng mát, thấm hút mồ hôi(ACT)",69000000,1214,43%,1451,,118,48775,331,12000000000,6900000000,6900000000,12000000000,12000000000,4.830508,[118. 0. 1. 2. 13. 102],118,24,48,['- ACT - ĐEN -'. '- ACT - XANH THAN -'. '- ACT - GHI SÁNG -'. '- ACT - TRẮNG -'. '- ACT - XÁM ĐẬM -'],5,f78504d02a6d9a61070d100cc977bea3,2124130680,137567530,78,Hà Nội,0,37
Áo Thun Trơn Nam Nữ Nhiều Màu Vải Dày Không Xù Lông,19000000,4122,50%,2718,wkdaelpmissisiht,4299,223542,44105,3800000000,1900000000,3500000000,3800000000,6000000000,4.889716,[4299. 24. 16. 62. 209. 3988],4299,1073,1807,['Trắng'. 'Đen'. 'Xám'. 'Đỏ'. 'Xanh Chuối'. 'Chọn màu # Nt Shop'],6,420fe5ea32e7119f0340be4fe7468a9c,2590808857,121129454,77,TP. Hồ Chí Minh,0,38
Áo sơ mi nam dài tay Ikemen Ghi Xám Kẻ Ca Rô chuẩn thiết kế Hàn Quốc(SMLD),108000000,1201,43%,860,,223,8795,202,19000000000,10800000000,10800000000,19000000000,19000000000,4.784753,[223. 3. 3. 5. 17. 195],223,31,57,['Ghi xám kẻ caro - M'. 'Ghi xám kẻ caro - L'. 'Ghi xám kẻ caro - XL'. 'Ghi xám kẻ caro - 2X'. 'Ghi xám kẻ caro - 3L'],5,04d43153cf10a3d9256e0eb9a4ed8ea0,2081693438,137567530,78,Hà Nội,0,39
"Áo phông nam cổ bẻ ngắn tay phối viền cao cấp : Kiểu dáng Hàn Quốc chất liệu cotton , co giãn 4 chiều(ACBPV)",79000000,1205,47%,2,,4,58770,120,15000000000,7900000000,7900000000,15000000000,15000000000,5,[4. 0. 0. 0. 0. 4],4,1,3,['-ACB ĐEN PHỐI VIỀN -'. 'ACB TRẮNG PHỐI VIỀN-'. 'ACB  MÀU VÀNG P.VIỀN'. '-ACB MÀU ĐỎ P.VIỀN -'. ' ACB XANH THAN PVIỀN'. 'ACB GHI SÁNG P.VIỀN-'],6,ff5b190fb0b500cf94e0e38e77cc217f,5941496759,230953643,78,Hà Nội,0,40
ÁO GIÓ 2 LỚP- CHỐNG NƯỚC- CHỐNG GIÓ,140000000,1135,30%,3,,1,358865,239,20000000000,14000000000,14000000000,20000000000,20000000000,5,[1. 0. 0. 0. 0. 1],1,0,1,['Uqlo Ghi Sáng'. 'Uqlo Xanh than'. 'Uqlo Đỏ Đô'. 'Uqlo Đen'. 'Uqlo Xanh rêu'. 'Z.ra Đen'. 'Z.ra Xám'. 'Z.ra Xanh Than'. 'Z.ra Đỏ Đô'],9,b0ba11dff44dd17b57ab89f5e6448013,4462759392,196661455,78,Hà Nội,0,41
Áo Sơ Mi Nam Cộc Tay Trẻ Trung Cao Cấp Loại Đẹp,65000000,14,46%,1711,wkdaelpmissisiht,125,2562,473,12000000000,6500000000,7500000000,12000000000,12000000000,4.808,[125. 2. 2. 2. 6. 113],125,17,34,['SMN- ĐEN'. 'SMN- TRẮNG'. 'SMN- Xanh Đậm'. 'SMN- Đỏ đô'],4,7089f6d5ea3d3ea87964adbf451ed30a,2039551966,61261760,78,Hà Nội,0,42
Áo khoác phao nam kiểu dáng hàn quốc,265000000,1102,11%,47,,3,1357,6043,29900000000,26500000000,29900000000,29900000000,29900000000,5,[3. 0. 0. 0. 0. 3],3,0,3,['đen'. 'kem'. 'xám sáng'. 'đỏ'. 'vàng'. 'than'. 'rêu'. 'xanh  nhạt'. 'xanh lá'. 'xám đá'],10,53356bab13c015491bb0ea60c6b16d59,7169243984,38668868,78,Hà Nội,41,43
Áo sơ mi nam dài tay dáng ôm sơ cổ bẻ vải lụa thái chống nhăn chống xù,70000000,1125,30%,2,,2,4198874,172,10000000000,7000000000,7000000000,10000000000,10000000000,5,[2. 0. 0. 0. 0. 2],2,0,1,['-SML-ĐEN'. '-SML-TRẮNG CÚC TRẮNG'. '-SML- ĐỎ ĐÔ'. '-SML- TRẮNG CÚC ĐEN'. '-SML- XANH NHẠT'. '-SML- XANH ĐẬM'. '-SML- Xám'],7,fda6d31a110f46042464cf40b3ac43b3,4662762766,196661455,78,Hà Nội,0,44
Áo len nam cổ lọ màu mới nhất loại mịn đẹp AL14,106000000,2972,,1610,,1867,19861,87364,0,10600000000,10600000000,-1,-1,4.745946,[1864. 31. 20. 77. 146. 1590],1864,346,797,['Trắng'. 'Đen'. 'Đỏ đô'. 'Xanh than'. 'Rêu'. 'Be sữa'. 'Nâu cam'. 'Xám nhạt'. 'Xám đậm'],9,4cdb263cab21edb7e23cf40dc73c6ebf,1396435151,69631402,78,Hà Nội,22,45
"Áo Thun Nam Có Cổ Tay Ngắn, Hàng Chuẩn Giá Cả Hợp Lý",69000000,1016,49%,1586,ao thun nam,766,13460,39851,6900000000,6900000000,7600000000,6900000000,14800000000,4.851175,[766. 10. 4. 11. 40. 701],766,125,281,['Trắng TM01'. 'Đen TM01'. 'Trắng VL'. 'Đen VL'. 'Đen topten'. 'Trắng topten'. 'Đen sọc Đỏ'. 'Đen -CG'. 'Trắng -CG'],9,f42251952674bcb317ebfcf0084763cb,4140650238,272162596,78,TP. Hồ Chí Minh,33,46
"Áo thun nam dài tay, áo giữ nhiệt nam co dãn 4 chiều-namdaishop",45000000,3341,44%,3945,,1774,41039,32028,8000000000,4500000000,4500000000,8000000000,8000000000,4.837091,[1775. 17. 10. 40. 114. 1594],1775,386,710,['Đen'. 'Trắng'. 'Đỏ'. 'Than'. 'Xám ghi'. 'xanh dương như video'],6,5dffee7663857008c6182ae5a5d3482e,5011790607,45229342,78,Hà Nội,39,47
"Áo phông, áo thun nam nữ form rộng tay DÀI UNISEX in chữ PA RALLTừ 50-70kg",95000000,2268,14%,3280,,14,84017,6249,11000000000,9500000000,9900000000,11000000000,11000000000,5,[14. 0. 0. 0. 0. 14],14,11,12,['Xanh lá'. 'Đen'. 'Trắng'],3,2410bf968957869176f2507835d4bf23,3368207012,351898295,77,TP. Hồ Chí Minh,0,48
Áo Khoác Dạ Nam Hàn Quốc Dáng Dài Áo Măng Tô Nam Hàn Quốc Sans01 Sans Shop,379000000,1014,,5,,15,51480,558,0,37900000000,37900000000,-1,-1,5,[15. 0. 0. 0. 0. 15],15,0,10,['XANH THAN'. 'ĐEN'. 'GHI SÁNG'. 'XANH RÊU'. 'VÀNG'. 'ĐỎ'. 'TRẮNG KEM'],7,8e44d29df010237b2c6cf105de7eadcb,4569341092,82497869,78,Hà Nội,0,49
ÁO KHOÁC LÔNG CỪU CAO CẤP HÀNG VNXK,199000000,998,50%,1,,1,57990,248,39800000000,19900000000,19900000000,39800000000,39800000000,5,[1. 0. 0. 0. 0. 1],1,0,0,['Đen'. 'Xám'. 'Xanh Than'],3,dbf6ed918eb39e45a1567c451e6e5ab9,8304109354,359302419,78,Hà Nội,0,50
"[CAO CẤP] Áo gió lót lông cừu Chống gió chống nước, Lông cừu siều dày ấm áp",198000000,996,50%,2,,1,154637,149,39600000000,19800000000,19800000000,39600000000,39600000000,5,[1. 0. 0. 0. 0. 1],1,0,1,['Đen'. 'Trắng'. 'Đỏ'. 'Xanh than'],4,ee6e93e3f812a23a42bab15c90d4e9ca,4369842904,359302419,78,Hà Nội,0,51
"[CAO CẤP] Áo gió lót lông cừu Chống gió chống nước, Lông cừu siều dày ấm áp",198000000,987,50%,0,,1,155650,225,39600000000,19800000000,19800000000,39600000000,39600000000,5,[1. 0. 0. 0. 0. 1],1,0,1,['Đen'. 'Trắng'. 'Đỏ'. 'Xanh than'],4,8df6ed818c665465b11a63db79ca9a1c,9303428118,230044165,78,Hà Nội,35,52
[ Có Ảnh Thật ] Áo thun unisex tay lỡ form rộng - phông phối tay CALI,89000000,374,29%,368,áo nam,178,134,18685,12500000000,8900000000,8900000000,12500000000,12500000000,4.926966,[178. 1. 0. 1. 7. 169],178,26,45,['Đen'. 'Xanh'. 'Vàng'],3,b834e60dcf7178c295d9d95155a5d4a3,6844887333,81075907,78,TP. Hồ Chí Minh,0,53
Áo Khoác Hoodie Nam Nữ,250000000,985,,11,,2,26014,1226,0,25000000000,25000000000,-1,-1,5,[2. 0. 0. 0. 0. 2],2,0,1,['ĐEN'. 'TRẮNG'. 'TÍM'. 'VÀNG'. 'XANH BIỂN'. 'HỒNG'. 'TAN'. 'XANH BƠ'. 'TRẮNG KEM'],9,e6a2f6818243a7a8108a7c641d4d2ad3,7669487782,358210343,77,TP. Hồ Chí Minh,0,54
Áo khoác nam đẹp lót lông chất kaki dáng bomber siêu ấm mặc mùa đông cao cấp hàng hiệu,350000000,268,,5,,1,58798,1118,0,35000000000,35000000000,-1,-1,5,[1. 0. 0. 0. 0. 1],1,1,1,['Đen'. 'Xanh'],2,ad24e8c90deecfca9a3aa60ef206f8ac,5168716140,55057442,78,Hà Nội,41,55
ÁO KHOÁC LÔNG CỪU CAO CẤP HÀNG VNXK,199000000,998,50%,3,,2,58995,406,39800000000,19900000000,19900000000,39800000000,39800000000,5,[2. 0. 0. 0. 0. 2],2,2,2,['Đen'. 'Xám'. 'Xanh Than'],3,ba3df626ecc9e5163a19dd3a0feef301,6669108586,230044165,78,Hà Nội,37,56
Áo thun trơn nam [𝐅𝐑𝐄𝐄 𝐒𝐇𝐈𝐏]  Áo phông tay ngắn 100% cotton Trắng Đen dáng ôm vừa vặn AT01,109000000,181,49%,84,áo thun áo phông nam,136,810,8160,10900000000,10900000000,10900000000,10900000000,21500000000,4.948529,[136. 0. 0. 2. 3. 131],136,27,49,['ĐEN (Cổ tròn)'. 'VÀNG (Cổ tròn)'. 'XANH NHẠT (Cổ tròn)'. 'TRẮNG (Cổ tròn)'. 'ĐỎ (Cổ tròn)'. 'DA (Cổ tròn)'. 'XÁM NHẠT (Cổ tròn)'],7,6d3c90b3689e20083de3e4bcfbaec355,3744691980,283370988,78,TP. Hồ Chí Minh,50,57
"Áo khoác dù nam MOKI 2 lớp lót lưới thoáng khí siêu nhẹ, giữ nhiệt tốt, chất vải mềm chống nước nhẹ",139000000,650,31%,0,,2,22285,124,20000000000,13900000000,13900000000,20000000000,20000000000,5,[2. 0. 0. 0. 0. 2],2,2,2,['AG - ĐEN'. 'AG - XANH THAN'. 'AG - XANH RÊU'],3,d45ecd020918b5dfffcb8d31cf9d9a44,5159481247,143163884,78,Hà Nội,0,58
ÁO HOODIE ❤️FREESHIP❤️ áo hoodie nam nữ trồng đầu Nam NỮ HÀN QUỐC from rộng thoáng mát  cực hót cuối năm,99000000,1846,,5459,,142,598433,21447,0,9900000000,9900000000,-1,-1,4.915493,[142. 1. 0. 2. 4. 135],142,70,72,['MÀU ĐEN'. 'MÀU XÁM '. 'MÀU VÀNG CÁT'. 'MÀU XANH LÁ'. 'MÀU XANH DƯƠNG'. 'MÀU ĐỎ'],6,0c84f4d9dfb6768b52e0500951185e04,3832998134,234274367,78,TP. Hồ Chí Minh,0,59
ÁO KHOÁC HOODIE NAM NỮ VẢI NỈ VENOM CỰC NGẦU KN17,99000000,902,46%,19,,4,396,1345,18500000000,9900000000,9900000000,18500000000,18500000000,5,[4. 0. 0. 0. 0. 4],4,0,4,['ĐEN'],1,accf31e46ed4bc91ec840a7d4af25dbb,3668441148,276351889,77,TP. Hồ Chí Minh,14,60
